FY,BESG ESG Score,BESG Environmental Pillar Score,BESG Governance Pillar Score,BESG Social Pillar Score,Biodiversity Policy,CO2 Scope 1,CO2 Scope 2 Location-Based,Carbon Monoxide Emissions,Climate Change Opportunities Discussed,Climate Change Policy,ESG Disclosure Score,Electricity Used,Emissions Reduction Initiatives,Energy Efficiency Policy,Environmental Disclosure Score,Fuel Used - Crude Oil/Diesel,Fuel Used - Natural Gas,GHG Scope 1,GHG Scope 2 Location-Based,GHG Scope 2 Market-Based,GHG Scope 3,Governance Disclosure Score,Hazardous Waste,Loaded Volumes,Nitrogen Oxide Emissions,Particulate Emissions,Renewable Energy Use,Revenue,Risks of Climate Change Discussed,Scope of Disclosure,Social Disclosure Score,Sulphur Dioxide / Sulphur Oxide Emissions,Total Energy Consumption,Total Waste,VOC Emissions,Waste Reduction Policy,Water Consumption
2013,—,—,—,—,Yes,—,—,—,No,Yes,"46,00","745,0",Yes,Yes,"45,61","11.508,4","802.756,0","33.692,0","376,0",—,—,"70,86",—,8839.0,"788,0","63,0",—,47386,No,"2,00","21,43","551,0","120.498,0","379,0","28,0",Yes,"2.519,0"
2014,—,—,—,—,No,—,—,—,No,Yes,"45,28","794,0",Yes,Yes,"43,43","11.109,3","862.367,0","32.406,0","402,0",—,—,"70,86",—,9442.0,"752,0","61,0",—,47569,No,"2,00","21,43","500,0","117.721,0","461,0","27,0",No,"3.730,0"
2015,"3,48","4,31","3,28","1,93",No,—,—,—,No,Yes,"43,75","808,0",Yes,Yes,"37,69","11.190,5","904.756,0","33.044,0","415,0",—,—,"67,67",—,9522.0,"755,0",—,—,40308,No,"2,00","25,79","482,0","119.132,0","479,0",—,No,"4.025,0"
2016,"2,83","3,04","3,05","2,06",No,—,—,—,No,Yes,"43,75","524,0",Yes,Yes,"37,69","12.068,6","817.328,0","35.917,0","252,0",—,—,"67,67",—,10415.0,"809,0",—,—,27266,No,"2,00","25,79","513,0","126.348,0","226,0",—,No,"2.384,0"
2017,"3,52","3,92","4,12","1,88",No,—,—,—,No,Yes,"46,84","816,0",Yes,Yes,"39,99","12.213,6","488.807,0","35.579,0","402,0",—,—,"72,82","118,0",10939.0,"826,0",—,—,30945,Yes,"2,00","27,60","531,0","124.883,0","272,0",—,No,"2.971,0"
2018,"3,69","4,36","3,93","1,91",No,—,—,—,No,Yes,"53,87","730,0",Yes,Yes,"41,41","14.049,9","22.519,6","38.749,0","338,0",—,—,"89,86","230,0",13306.0,"953,0",—,—,39280,Yes,"2,00","30,20","615,0","138.120,0","338,0",—,No,"2.244,0"
2019,"4,64","5,93","4,68","1,96",Yes,—,—,—,No,Yes,"55,92","657,0",Yes,Yes,"43,97","13.111,5","9,0","36.204,0","287,0",—,—,"89,86","187,0",13296.0,"888,0",—,"2,0",38890,Yes,"2,00","33,80","569,0","128.838,0","299,0",—,No,"1.696,0"
2020,"5,15","6,22","4,92","3,15",Yes,"32.747,6",—,—,No,Yes,"57,50","666,4",Yes,Yes,"48,72","10.545,3","3.539,9","33.902,0","305,0","337,0","19.086,5","89,86","188,0",12634.0,"825,0",—,"361,9",39740,Yes,"2,00","33,80","102,0","119.881,0","289,0",—,Yes,"1.754,0"
2021,"5,85","7,18","5,10","3,97",Yes,"35.926,2",—,—,No,Yes,"55,98","731,2",Yes,Yes,"48,72","12.934,8","35.155,8","36.596,0","351,0","335,0","39.435,0","89,86","216,0",13089.0,"886,0",—,"1.008,2",61787,Yes,"2,00","29,23","107,0","131.554,0","357,0",—,Yes,"2.156,0"
2022,"6,23","7,89","5,35","3,90",Yes,"32.910,9",—,"55,0",No,Yes,"58,36","695,0",Yes,Yes,"59,05","12.211,3","28.571,4","34.150,0","356,0","331,0","43.451,0","89,86","222,0",11924.0,"604,0","51,0","207,0",81529,Yes,"2,00","26,06","99,0","124.262,0","460,0","27,0",Yes,"2.504,0"
